id,postcode,SUBZONE_C,PLN_AREA_C,REGION_C
3,59439,OTSZ03,OT,CR
3,58570,OTSZ03,OT,CR
3,58476,OTSZ03,OT,CR
3,58801,OTSZ03,OT,CR
3,58803,OTSZ03,OT,CR
3,58807,OTSZ03,OT,CR
3,59187,OTSZ03,OT,CR
3,59021,OTSZ03,OT,CR
3,58940,OTSZ03,OT,CR
3,58571,OTSZ03,OT,CR
3,58809,OTSZ03,OT,CR
3,58811,OTSZ03,OT,CR
3,58813,OTSZ03,OT,CR
3,58817,OTSZ03,OT,CR
3,58819,OTSZ03,OT,CR
3,58821,OTSZ03,OT,CR
3,58823,OTSZ03,OT,CR
3,58825,OTSZ03,OT,CR
3,58827,OTSZ03,OT,CR
3,59188,OTSZ03,OT,CR
3,59022,OTSZ03,OT,CR
3,58942,OTSZ03,OT,CR
3,58573,OTSZ03,OT,CR
3,58829,OTSZ03,OT,CR
3,59507,OTSZ03,OT,CR
3,59484,OTSZ03,OT,CR
3,58556,OTSZ03,OT,CR
3,58457,OTSZ03,OT,CR
3,59508,OTSZ03,OT,CR
3,59189,OTSZ03,OT,CR
3,59024,OTSZ03,OT,CR
3,58575,OTSZ03,OT,CR
3,58338,OTSZ03,OT,CR
3,59509,OTSZ03,OT,CR
3,59190,OTSZ03,OT,CR
3,59025,OTSZ03,OT,CR
3,58339,OTSZ03,OT,CR
3,59192,OTSZ03,OT,CR
3,59512,OTSZ03,OT,CR
3,59026,OTSZ03,OT,CR
3,59195,OTSZ03,OT,CR
3,59027,OTSZ03,OT,CR
3,59515,OTSZ03,OT,CR
3,59196,OTSZ03,OT,CR
3,58950,OTSZ03,OT,CR
3,59517,OTSZ03,OT,CR
3,59198,OTSZ03,OT,CR
3,58952,OTSZ03,OT,CR
3,58584,OTSZ03,OT,CR
3,59518,OTSZ03,OT,CR
3,59199,OTSZ03,OT,CR
3,59519,OTSZ03,OT,CR
3,59200,OTSZ03,OT,CR
3,58586,OTSZ03,OT,CR
3,59201,OTSZ03,OT,CR
3,58954,OTSZ03,OT,CR
3,59203,OTSZ03,OT,CR
3,58955,OTSZ03,OT,CR
3,58590,OTSZ03,OT,CR
3,59524,OTSZ03,OT,CR
3,58956,OTSZ03,OT,CR
3,58591,OTSZ03,OT,CR
3,59525,OTSZ03,OT,CR
3,58957,OTSZ03,OT,CR
3,59485,OTSZ03,OT,CR
3,58557,OTSZ03,OT,CR
3,58459,OTSZ03,OT,CR
3,59211,OTSZ03,OT,CR
3,58959,OTSZ03,OT,CR
3,58597,OTSZ03,OT,CR
3,58598,OTSZ03,OT,CR
3,59213,OTSZ03,OT,CR
3,58960,OTSZ03,OT,CR
3,58599,OTSZ03,OT,CR
3,59214,OTSZ03,OT,CR
3,58600,OTSZ03,OT,CR
3,59215,OTSZ03,OT,CR
3,58601,OTSZ03,OT,CR
3,59216,OTSZ03,OT,CR
3,59217,OTSZ03,OT,CR
3,58962,OTSZ03,OT,CR
3,58604,OTSZ03,OT,CR
3,59486,OTSZ03,OT,CR
3,59011,OTSZ03,OT,CR
3,58460,OTSZ03,OT,CR
3,59219,OTSZ03,OT,CR
3,58963,OTSZ03,OT,CR
3,59220,OTSZ03,OT,CR
3,58606,OTSZ03,OT,CR
3,59221,OTSZ03,OT,CR
3,58964,OTSZ03,OT,CR
3,59222,OTSZ03,OT,CR
3,59224,OTSZ03,OT,CR
3,58610,OTSZ03,OT,CR
3,59225,OTSZ03,OT,CR
3,58966,OTSZ03,OT,CR
3,58611,OTSZ03,OT,CR
3,58967,OTSZ03,OT,CR
3,59228,OTSZ03,OT,CR
3,59487,OTSZ03,OT,CR
3,58558,OTSZ03,OT,CR
3,58461,OTSZ03,OT,CR
3,59229,OTSZ03,OT,CR
3,58968,OTSZ03,OT,CR
3,59230,OTSZ03,OT,CR
3,58615,OTSZ03,OT,CR
3,59231,OTSZ03,OT,CR
3,58617,OTSZ03,OT,CR
3,59233,OTSZ03,OT,CR
3,59234,OTSZ03,OT,CR
3,59235,OTSZ03,OT,CR
3,59237,OTSZ03,OT,CR
3,59238,OTSZ03,OT,CR
3,59488,OTSZ03,OT,CR
3,59012,OTSZ03,OT,CR
3,58922,OTSZ03,OT,CR
3,58462,OTSZ03,OT,CR
3,58327,OTSZ03,OT,CR
3,59239,OTSZ03,OT,CR
3,59240,OTSZ03,OT,CR
3,59241,OTSZ03,OT,CR
3,59243,OTSZ03,OT,CR
3,58463,OTSZ03,OT,CR
3,68740,OTSZ03,OT,CR
3,69697,OTSZ03,OT,CR
3,88804,OTSZ03,OT,CR
3,89670,OTSZ03,OT,CR
3,89544,OTSZ03,OT,CR
3,88522,OTSZ03,OT,CR
3,88523,OTSZ03,OT,CR
3,88526,OTSZ03,OT,CR
3,89671,OTSZ03,OT,CR
3,89595,OTSZ03,OT,CR
3,88527,OTSZ03,OT,CR
3,88528,OTSZ03,OT,CR
3,88530,OTSZ03,OT,CR
3,88531,OTSZ03,OT,CR
3,89596,OTSZ03,OT,CR
3,88532,OTSZ03,OT,CR
3,88534,OTSZ03,OT,CR
3,89597,OTSZ03,OT,CR
3,88536,OTSZ03,OT,CR
3,88537,OTSZ03,OT,CR
3,88538,OTSZ03,OT,CR
3,88439,OTSZ03,OT,CR
3,89600,OTSZ03,OT,CR
3,89601,OTSZ03,OT,CR
3,89602,OTSZ03,OT,CR
3,89587,OTSZ03,OT,CR
3,89603,OTSZ03,OT,CR
3,88443,OTSZ03,OT,CR
3,89604,OTSZ03,OT,CR
3,89605,OTSZ03,OT,CR
3,88445,OTSZ03,OT,CR
3,89606,OTSZ03,OT,CR
3,89607,OTSZ03,OT,CR
3,89488,OTSZ03,OT,CR
3,88447,OTSZ03,OT,CR
3,89608,OTSZ03,OT,CR
3,89489,OTSZ03,OT,CR
3,89609,OTSZ03,OT,CR
3,89490,OTSZ03,OT,CR
3,88449,OTSZ03,OT,CR
3,88450,OTSZ03,OT,CR
3,88818,OTSZ03,OT,CR
